iter	Passed	Remaining
1724	13765	22144
1725	13771	22134
1726	13778	22123
1727	13784	22112
1728	13793	22105
1729	13803	22100
1730	13810	22091
1731	13816	22080
1732	13822	22069
1733	13829	22059
1734	13835	22049
1735	13842	22038
1736	13848	22028
1737	13854	22018
1738	13861	22007
1739	13868	21998
1740	13874	21987
1741	13880	21976
1742	13888	21967
1743	13895	21957
1744	13902	21949
1745	13908	21938
1746	13914	21927
1747	13921	21918
1748	13928	21908
1749	13935	21898
1750	13942	21888
1751	13948	21877
1752	13954	21867
1753	13961	21857
1754	13968	21847
1755	13974	21837
1756	13981	21827
1757	13988	21817
1758	13995	21808
1759	14002	21798
1760	14010	21791
1761	14018	21784
1762	14026	21776
1763	14034	21767
1764	14041	21758
1765	14047	21747
1766	14057	21742
1767	14066	21736
1768	14074	21728
1769	14082	21720
1770	14090	21712
1771	14098	21704
1772	14106	21696
1773	14113	21687
1774	14121	21679
1775	14129	21671
1776	14137	21664
1777	14146	21656
1778	14154	21649
1779	14162	21641
1780	14170	21633
1781	14177	21624
1782	14185	21616
1783	14193	21608
1784	14201	21600
1785	14209	21592
1786	14217	21584
1787	14225	21577
1788	14233	21569
1789	14242	21561
1790	14252	21557
1791	14262	21552
1792	14271	21547
1793	14280	21539
1794	14286	21529
1795	14293	21519
1796	14299	21509
1797	14306	21499
1798	14313	21490
1799	14320	21480
1800	14327	21471
1801	14333	21460
1802	14339	21450
1803	14346	21440
1804	14352	21429
1805	14359	21420
1806	14365	21408
1807	14371	21398
1808	14378	21388
1809	14385	21379
1810	14391	21368
1811	14397	21358
1812	14404	21348
1813	14410	21338
1814	14418	21329
1815	14424	21319
1816	14431	21308
1817	14437	21299
1818	14444	21288
1819	14450	21278
1820	14456	21267
1821	14459	21253
1822	14466	21242
1823	14472	21232
1824	14478	21221
1825	14484	21210
1826	14490	21200
1827	14496	21190
1828	14504	21182
1829	14511	21172
1830	14517	21162
1831	14523	21151
1832	14530	21141
1833	14536	21130
1834	14543	21121
1835	14549	21111
1836	14556	21101
1837	14562	21090
1838	14569	21081
1839	14575	21071
1840	14582	21061
1841	14589	21052
1842	14595	21042
1843	14602	21032
1844	14608	21022
1845	14615	21012
1846	14622	21003
1847	14632	20998
1848	14640	20991
1849	14648	20983
1850	14656	20975
1851	14664	20966
1852	14670	20957
1853	14676	20946
1854	14683	20936
1855	14689	20926
1856	14696	20916
1857	14701	20905
1858	14707	20894
1859	14710	20879
1860	14717	20869
1861	14725	20861
1862	14732	20853
1863	14739	20844
1864	14746	20834
1865	14752	20824
1866	14758	20814
1867	14766	20805
1868	14772	20795
1869	14779	20786
1870	14786	20776
1871	14792	20767
1872	14799	20757
1873	14805	20747
1874	14812	20737
1875	14818	20727
1876	14824	20716
1877	14831	20707
1878	14838	20698
1879	14846	20690
1880	14853	20681
1881	14862	20675
1882	14869	20666
1883	14876	20657
1884	14883	20647
1885	14891	20639
1886	14898	20630
1887	14909	20626
1888	14915	20616
1889	14922	20606
1890	14928	20597
1891	14935	20588
1892	14942	20578
1893	14948	20567
1894	14955	20558
1895	14961	20548
1896	14968	20538
1897	14974	20528
1898	14980	20518
1899	14986	20508
1900	14993	20499
1901	15000	20489
1902	15006	20479
1903	15013	20469
1904	15019	20459
1905	15025	20449
1906	15032	20439
1907	15039	20430
1908	15048	20425
1909	15057	20418
1910	15066	20411
1911	15075	20406
1912	15082	20396
1913	15089	20387
1914	15095	20377
1915	15103	20368
1916	15109	20358
1917	15116	20349
1918	15122	20339
1919	15129	20330
1920	15140	20326
1921	15148	20318
1922	15156	20311
1923	15166	20306
1924	15175	20299
1925	15184	20293
1926	15195	20289
1927	15203	20281
1928	15210	20272
1929	15219	20266
1930	15229	20260
1931	15238	20255
1932	15247	20248
1933	15256	20242
1934	15265	20235
1935	15272	20227
1936	15282	20221
1937	15291	20214
1938	15301	20209
1939	15311	20204
1940	15320	20198
1941	15328	20191
1942	15337	20183
1943	15345	20177
1944	15354	20170
1945	15364	20164
1946	15373	20158
1947	15381	20151
1948	15391	20145
1949	15404	20144
1950	15413	20137
1951	15422	20130
1952	15430	20124
1953	15438	20116
1954	15446	20108
1955	15454	20100
1956	15463	20094
1957	15471	20086
1958	15479	20078
1959	15487	20071
1960	15496	20063
1961	15505	20057
1962	15513	20049
1963	15521	20042
1964	15530	20034
1965	15539	20029
1966	15548	20021
1967	15557	20015
1968	15564	20007
1969	15572	19999
1970	15581	19992
1971	15590	19986
1972	15598	19978
1973	15607	19971
1974	15616	19965
1975	15623	19956
1976	15632	19949
1977	15640	19941
1978	15648	19934
1979	15659	19930
1980	15668	19923
1981	15676	19915
1982	15685	19909
1983	15693	19902
1984	15702	19895
1985	15712	19889
1986	15720	19882
1987	15731	19877
1988	15740	19871
1989	15749	19864
1990	15757	19857
1991	15766	19851
1992	15775	19844
1993	15784	19837
1994	15792	19829
1995	15801	19822
1996	15811	19817
1997	15822	19813
1998	15830	19806
1999	15839	19799
2000	15847	19791
2001	15855	19783
2002	15863	19775
2003	15871	19768
2004	15879	19760
2005	15888	19753
2006	15898	19748
2007	15906	19740
2008	15914	19732
2009	15921	19724
2010	15930	19716
2011	15938	19709
2012	15948	19704
2013	15957	19697
2014	15966	19690
2015	15975	19684
2016	15983	19676
2017	15992	19669
2018	16001	19663
2019	16009	19655
2020	16019	19649
2021	16028	19642
2022	16037	19636
2023	16047	19631
2024	16055	19623
2025	16065	19617
2026	16077	19614
2027	16096	19621
2028	16117	19628
2029	16129	19625
2030	16141	19622
2031	16152	19618
2032	16165	19616
2033	16177	19613
2034	16187	19607
2035	16198	19603
2036	16209	19598
2037	16218	19592
2038	16229	19587
2039	16246	19590
2040	16255	19584
2041	16264	19577
2042	16273	19570
2043	16282	19564
2044	16292	19558
2045	16300	19551
2046	16313	19549
2047	16334	19557
2048	16345	19552
2049	16357	19549
2050	16369	19545
2051	16379	19540
2052	16390	19536
2053	16434	19570
2054	16444	19565
2055	16459	19565
2056	16478	19571
2057	16490	19567
2058	16504	19566
2059	16515	19562
2060	16525	19556
2061	16536	19552
2062	16547	19547
2063	16559	19544
2064	16570	19539
2065	16578	19532
2066	16589	19526
2067	16604	19527
2068	16614	19521
2069	16625	19516
2070	16634	19510
2071	16645	19505
2072	16660	19505
2073	16670	19499
2074	16678	19492
2075	16686	19483
2076	16694	19475
2077	16706	19472
2078	16714	19464
2079	16723	19456
2080	16729	19446
2081	16736	19437
2082	16742	19427
2083	16750	19418
2084	16758	19410
2085	16764	19400
2086	16770	19390
2087	16777	19380
2088	16783	19370
2089	16789	19360
2090	16796	19351
2091	16803	19341
2092	16810	19332
2093	16816	19322
2094	16823	19312
2095	16829	19302
2096	16836	19292
2097	16843	19283
2098	16849	19273
2099	16856	19265
2100	16865	19257
2101	16873	19249
2102	16884	19244
2103	16890	19235
2104	16898	19226
2105	16905	19216
2106	16911	19207
2107	16918	19198
2108	16925	19189
2109	16932	19180
2110	16939	19170
2111	16947	19161
2112	16956	19155
2113	16966	19149
2114	16975	19142
2115	16981	19132
2116	16988	19123
2117	16994	19113
2118	17002	19104
2119	17009	19095
2120	17016	19086
2121	17024	19078
2122	17032	19069
2123	17038	19060
2124	17046	19052
2125	17053	19042
2126	17061	19034
2127	17069	19026
2128	17076	19017
2129	17083	19008
2130	17090	18999
2131	17097	18989
2132	17103	18980
2133	17110	18970
2134	17116	18960
2135	17123	18951
2136	17129	18941
2137	17137	18932
2138	17144	18923
2139	17152	18915
2140	17161	18908
2141	17169	18900
2142	17176	18892
2143	17184	18883
2144	17190	18873
2145	17198	18865
2146	17205	18856
2147	17212	18846
2148	17218	18837
2149	17227	18829
2150	17234	18821
2151	17242	18812
2152	17249	18803
2153	17258	18796
2154	17266	18788
2155	17274	18780
2156	17282	18772
2157	17288	18763
2158	17296	18754
2159	17303	18745
2160	17311	18737
2161	17318	18728
2162	17327	18721
2163	17337	18715
2164	17348	18711
2165	17362	18708
2166	17369	18700
2167	17379	18694
2168	17386	18684
2169	17393	18676
2170	17400	18666
2171	17406	18657
2172	17414	18648
2173	17422	18640
2174	17430	18633
2175	17439	18625
2176	17447	18617
2177	17454	18608
2178	17462	18600
2179	17470	18592
2180	17477	18583
2181	17485	18574
2182	17491	18565
2183	17498	18555
2184	17504	18546
2185	17511	18536
2186	17517	18526
2187	17523	18516
2188	17529	18506
2189	17537	18498
2190	17544	18489
2191	17550	18479
2192	17557	18470
2193	17564	18461
2194	17573	18454
2195	17580	18444
2196	17589	18438
2197	17597	18430
2198	17605	18421
2199	17612	18413
2200	17619	18404
2201	17626	18395
2202	17633	18386
2203	17641	18377
2204	17648	18368
2205	17655	18359
2206	17662	18350
2207	17668	18341
2208	17675	18331
2209	17682	18322
2210	17691	18315
2211	17698	18306
2212	17705	18297
2213	17710	18286
2214	17717	18277
2215	17723	18267
2216	17730	18257
2217	17735	18247
2218	17743	18238
2219	17749	18229
2220	17756	18220
2221	17763	18211
2222	17770	18201
2223	17778	18193
2224	17785	18184
2225	17792	18175
2226	17798	18166
2227	17806	18157
2228	17812	18148
2229	17819	18139
2230	17826	18130
2231	17832	18120
2232	17839	18111
2233	17847	18103
2234	17853	18093
2235	17861	18084
2236	17869	18077
2237	17876	18068
2238	17883	18059
2239	17892	18051
2240	17898	18042
2241	17906	18033
2242	17912	18024
2243	17920	18016
2244	17927	18007
2245	17934	17998
2246	17941	17989
2247	17948	17980
2248	17956	17972
2249	17964	17964
2250	17972	17956
2251	17981	17949
2252	17988	17940
2253	17997	17933
2254	18005	17925
2255	18013	17917
2256	18020	17909
2257	18027	17900
2258	18035	17891
2259	18041	17882
2260	18048	17872
2261	18056	17865
2262	18063	17855
2263	18070	17846
2264	18076	17836
2265	18082	17827
2266	18088	17817
2267	18095	17808
2268	18103	17799
2269	18110	17790
2270	18116	17781
2271	18122	17771
2272	18128	17762
2273	18135	17753
2274	18142	17743
2275	18148	17734
2276	18154	17724
2277	18161	17714
2278	18167	17705
2279	18174	17695
2280	18180	17686
2281	18186	17676
2282	18194	17668
2283	18200	17658
2284	18206	17649
2285	18213	17639
2286	18219	17630
2287	18226	17620
2288	18232	17611
2289	18238	17601
2290	18245	17592
2291	18252	17583
2292	18260	17575
2293	18266	17565
2294	18273	17556
2295	18279	17547
2296	18285	17537
2297	18292	17528
2298	18299	17519
2299	18309	17513
2300	18317	17505
2301	18324	17496
2302	18331	17487
2303	18339	17479
2304	18346	17470
2305	18353	17461
2306	18362	17454
2307	18368	17445
2308	18375	17436
2309	18383	17428
2310	18391	17420
2311	18398	17411
2312	18406	17404
2313	18413	17395
2314	18420	17386
2315	18427	17377
2316	18435	17369
2317	18441	17359
2318	18449	17351
2319	18456	17342
2320	18463	17333
2321	18470	17324
2322	18477	17316
2323	18484	17307
2324	18491	17298
2325	18498	17289
2326	18505	17281
2327	18513	17272
2328	18519	17263
2329	18526	17254
2330	18533	17245
2331	18539	17235
2332	18546	17227
2333	18553	17217
2334	18560	17209
2335	18568	17200
2336	18578	17195
2337	18585	17186
2338	18593	17178
2339	18600	17169
2340	18607	17161
2341	18614	17152
2342	18621	17143
2343	18629	17135
2344	18636	17126
2345	18643	17117
2346	18649	17108
2347	18656	17098
2348	18662	17089
2349	18669	17081
2350	18676	17072
2351	18683	17063
2352	18690	17053
2353	18696	17044
2354	18703	17035
2355	18709	17026
2356	18715	17016
2357	18722	17007
2358	18728	16997
2359	18735	16989
2360	18741	16979
2361	18747	16969
2362	18753	16959
2363	18759	16950
2364	18767	16941
2365	18775	16934
2366	18783	16926
2367	18791	16918
2368	18798	16909
2369	18804	16900
2370	18810	16890
2371	18816	16881
2372	18823	16871
2373	18829	16862
2374	18835	16852
2375	18843	16844
2376	18849	16835
2377	18857	16827
2378	18864	16818
2379	18871	16809
2380	18877	16800
2381	18884	16791
2382	18891	16782
2383	18898	16773
2384	18904	16764
2385	18911	16755
2386	18917	16745
2387	18923	16736
2388	18930	16727
2389	18936	16717
2390	18942	16708
2391	18948	16699
2392	18956	16691
2393	18964	16682
2394	18971	16674
2395	18977	16664
2396	18984	16656
2397	18991	16647
2398	18997	16637
2399	19004	16629
2400	19011	16620
2401	19017	16610
2402	19024	16601
2403	19031	16593
2404	19038	16584
2405	19045	16575
2406	19052	16566
2407	19059	16558
2408	19065	16548
2409	19072	16539
2410	19078	16530
2411	19084	16521
2412	19092	16512
2413	19097	16503
2414	19104	16494
2415	19111	16485
